City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,kayangel,8.0823,134.7173,27.93,78,35,3.99,PW,1701888344
331,necochea,-38.5473,-58.7368,20.18,63,100,5.87,AR,1701888344
332,la ronge,55.1001,-105.2842,3.14,60,40,4.12,CA,1701888099
333,broome,42.2506,-75.833,0.95,78,100,2.57,US,1701888095
334,constitucion,-35.3333,-72.4167,19.01,64,15,6.0,CL,1701888344
335,villa huidobro,-34.8383,-64.5869,31.49,13,1,6.74,AR,1701888345
336,angol,-37.8,-72.7167,27.79,29,8,3.23,CL,1701888345
337,george town,5.4112,100.3354,27.96,92,20,1.54,MY,1701888143
338,san martin hidalgo,20.4354,-103.9288,25.04,41,100,1.9,MX,1701888345
339,lere,10.387,8.5726,23.18,21,3,2.46,NG,1701888345
340,khanty-mansiysk,61.0042,69.0019,-35.5,68,0,1.0,RU,1701888346
341,hobyo,5.3505,48.5268,26.68,63,47,8.18,SO,1701888108
342,namtsy,62.7161,129.6658,-49.23,99,74,0.64,RU,1701888346
343,capao bonito,-24.0058,-48.3494,28.81,56,99,0.42,BR,1701888346
344,mana,5.6592,-53.7767,27.16,78,43,5.3,GF,1701888107
345,kourou,5.1552,-52.6478,30.03,74,36,3.71,GF,1701888060
346,sainte-marie,-20.8968,55.5496,26.09,88,75,1.54,RE,1701888346
347,sao joao batista,-27.2761,-48.8494,31.65,79,80,1.65,BR,1701888336
348,ghat,24.9647,10.1728,21.42,14,77,2.9,LY,1701888347
349,roccella ionica,38.322,16.4009,14.09,69,100,4.65,IT,1701888347
350,bathsheba,13.2167,-59.5167,29.34,84,40,9.77,BB,1701888125
351,timbuktu,16.7735,-3.0074,27.81,11,0,3.58,ML,1701888124
352,priob'ye,62.5206,65.5964,-33.87,95,6,2.15,RU,1701888348
353,san luis,-33.295,-66.3356,27.68,23,0,5.1,AR,1701888201
354,lillestrom,59.956,11.0492,-7.24,95,100,1.1,NO,1701888348
355,faya-largeau,17.9257,19.1043,22.13,21,1,5.54,TD,1701888349
356,birjand,32.8663,59.2211,3.26,15,0,2.06,IR,1701888122
357,east wenatchee bench,47.4257,-120.2812,6.84,98,100,1.54,US,1701888349
358,le port,-20.9373,55.2919,26.0,93,84,1.3,RE,1701888349
359,mata-utu,-13.2816,-176.1745,27.77,78,79,5.39,WF,1701888059
360,shalkar,47.8288,59.6258,-4.41,53,4,3.56,KZ,1701888349
361,al qutayfah,33.7385,36.6007,11.9,73,9,2.49,SY,1701888350
